DeployID,TagID,RecapID,RecapID_Clean,Size (mm),RiffleID,Site,SurveyID,Date,DetectionType,Notes
50339,226001370204,NA,NA,16,Overflow 1A,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,209000133113,NA,NA,90,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,209000133124,NA,NA,45,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,209000133128,NA,NA,45,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,209000133132,NA,NA,128,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,209000133170,NA,NA,64,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,209000133177,NA,NA,64,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,209000133201,NA,NA,64,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,209000133207,NA,NA,90,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370211,NA,NA,32,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370221,NA,NA,16,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370241,NA,NA,16,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370242,NA,NA,16,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370246,NA,NA,16,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370248,NA,NA,32,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370255,NA,NA,16,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370260,NA,NA,32,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370283,NA,NA,32,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,226001370370,NA,NA,16,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,230000111516,NA,NA,128,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,230000111674,NA,NA,256,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,230000111689,NA,NA,90,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,230000111737,NA,NA,128,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,230000298009,NA,NA,256,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,230000298010,NA,NA,256,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,230000298015,NA,NA,256,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,230000298018,NA,NA,256,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,230000298019,NA,NA,256,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
NA,231000039792,NA,NA,32,Gravel Augmentation,Gravel Augmentation,Deploy 2023,4/25/2023,Trimble,NA
50300,209000133204,50600*,50600,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50301,231000039712,50601b*,50601,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50302,209000133209,50602*,50602,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50303,209000133181,50603*,50603,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50304,226001370216,50604bh,50604,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50305,230000298006,50605*,50605,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50306,209000133155,50606*,50606,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50307,231000039751,50607h*,50607,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50308,209000133126,50608*,50608,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50309,209000133194,50609*,50609,NA,GA1,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50310,209000133134,50610b*~,50610,NA,GA2,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50311,226001370200,NA,NA,NA,GA2,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50312,209000133192,50612h*,50612,NA,GA2,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50313,231000039706,NA,NA,NA,GA2,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50314,209000133185,50614b*~,50614,NA,GA3,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50315,226001370294,NA,NA,NA,GA3,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50316,209000133175,50616b*~,50616,NA,GA3,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50317,209000133130,50617b*,50617,NA,GA4,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50318,226001370293,NA,NA,NA,GA4,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50319,209000133137,50619h*,50619,NA,GA4,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50320,209000133179,50620h*,50620,NA,GA4,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50321,209000133147,50621h*,50621,NA,GA5,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50322,230000298016,50622*,50622,NA,GA5,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50323,226001370275,NA,NA,NA,GA5,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50324,209000133187,NA,NA,NA,GA5,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50325,209000133183,NA,NA,NA,GA6,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50326,209000133110,50626h*,50626,NA,GA6,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50327,226001370330,NA,NA,NA,GA6,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50328,209000133191,50628h*,50628,NA,GA6,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50329,209000133151,50629bh*,50629,NA,GA6,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50330,226001370205,50630b*,50630,NA,Overflow 1C,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50331,226001370222,50631b,50631,NA,Overflow 1C,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50332,226001370230,50632b*,50632,NA,Overflow 1C,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50333,226001370203,NA,NA,NA,Overflow 1C,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50334,226001370236,50634b*,50634,NA,Overflow 1C,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50335,226001370259,NA,NA,NA,Overflow 1A,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50336,226001370291,50636*,50636,NA,Overflow 1A,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50337,226001370397,NA,NA,NA,Overflow 1A,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50338,231000039741,NA,NA,NA,Overflow 1A,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50339,226001370204,50639b*,50639,NA,Overflow 1A,Gravel Augmentation,Relocate 2023,9/27/2023,Trimble,NA
50311,226001370200,NA,NA,NA,GA2,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50313,231000039706,NA,NA,NA,GA2,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50315,226001370294,NA,NA,NA,GA3,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50318,226001370293,NA,NA,NA,GA4,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50323,226001370275,NA,NA,NA,GA5,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50324,209000133187,50924*,50924,NA,GA5,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50325,209000133183,50925,50925,NA,GA6,Gravel Augmentation,Relocate 2024,9/24/2024,Mobile,"from M34, survey = 146503"
50333,226001370203,NA,NA,NA,Overflow 1C,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50335,226001370259,50935,50935,NA,Overflow 1A,Gravel Augmentation,Relocate 2024,9/24/2024,Mobile,M34 Detection Only
50337,226001370397,NA,NA,NA,Overflow 1A,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50338,231000039741,NA,NA,NA,Overflow 1A,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50350,209000133132,NA,NA,NA,GA7,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50351,231000039766,50951b~*,50951,NA,GA7,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50352,230000111608,50952h*,50952,NA,GA7,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50353,226001370221,NA,NA,NA,GA7,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50354,209000132730,50954*,50954,NA,GA9,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50355,226001370249,NA,NA,NA,GA9,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50356,230000111711,50956*,50956,NA,GA9,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50357,226001370262,NA,NA,NA,GA9,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50358,226001370234,NA,NA,NA,GA8,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50359,230000111611,50959b*,50959,NA,GA8,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50360,226001370207,NA,NA,NA,GA8,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50361,228000607522,NA,NA,NA,GA8,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50362,228000607519,50962h*,50962,NA,GA11,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50363,226001370214,NA,NA,NA,GA11,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50364,230000111502,50964*,50964,NA,GA11,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50365,226001370296,NA,NA,NA,GA11,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50366,228000607500,50966b*,50966,NA,GA10,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50367,209000132759,50967*,50967,NA,GA10,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50368,231000039704,NA,NA,NA,GA10,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50369,228000607525,NA,NA,NA,GA12,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50370,226001370269,NA,NA,NA,GA12,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50371,230000111553,50971*,50971,NA,GA12,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50372,226001370325,NA,NA,NA,GA12,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50600,209000133204,50900*,50900,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50601,231000039712,50901*,50901,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50602,209000133209,50902,50902,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50603,209000133181,50903*,50903,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50604,226001370216,NA,NA,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50605,230000298006,50905*,50905,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50606,209000133155,50906*,50906,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50607,231000039751,NA,NA,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50608,209000133126,50908*,50908,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50609,209000133194,50909*,50909,NA,GA1,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50610,209000133134,50910b~,50910,NA,GA2,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50612,209000133192,50912*,50912,NA,GA2,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50614,209000133185,NA,NA,NA,GA3,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50616,209000133175,NA,NA,NA,GA3,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50617,209000133130,NA,NA,NA,GA4,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50619,209000133137,50919*,50919,NA,GA4,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50620,209000133179,50920*,50920,NA,GA4,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50621,209000133147,50921b~*,50921,NA,GA5,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50622,230000298016,50922*,50922,NA,GA5,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50626,209000133110,50926h,50926,NA,GA6,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50627,226001370330,NA,NA,NA,GA6,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50628,209000133191,50928b*,50928,NA,GA6,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50629,209000133151,50929b*,50929,NA,GA6,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50630,226001370205,NA,NA,NA,Overflow 1C,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50631,226001370222,NA,NA,NA,Overflow 1C,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50632,226001370230,NA,NA,NA,Overflow 1C,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50634,226001370236,NA,NA,NA,Overflow 1C,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50636,226001370291,NA,NA,NA,Overflow 1A,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50639,226001370204,50939b*,50939,NA,Overflow 1A,Gravel Augmentation,Relocate 2024,9/24/2024,Trimble,NA
50350,209000133132,NA,NA,23,GA7,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50351,231000039766,NA,NA,14,GA7,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50352,230000111608,NA,NA,32,GA7,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50353,226001370221,NA,NA,12,GA7,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50354,209000132730,NA,NA,23,GA9,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50355,226001370249,NA,NA,12,GA9,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50356,230000111711,NA,NA,32,GA9,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50357,226001370262,NA,NA,12,GA9,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50358,226001370234,NA,NA,12,GA8,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50359,230000111611,NA,NA,32,GA8,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50360,226001370207,NA,NA,12,GA8,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50361,228000607522,NA,NA,23,GA8,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,NA
50362,228000607519,NA,NA,23,GA11,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet: 50394
50363,226001370214,NA,NA,12,GA11,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet:50395
50364,230000111502,NA,NA,32,GA11,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet: 50396
50365,226001370296,NA,NA,12,GA11,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet: 50397
50366,228000607500,NA,NA,23,GA10,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet: 50399
50367,209000132759,NA,NA,23,GA10,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet: 50400
50368,231000039704,NA,NA,14,GA10,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet: 50401
50369,228000607525,NA,NA,23,GA12,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet: 50402
50370,226001370269,NA,NA,12,GA12,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet:50403
50371,230000111553,NA,NA,32,GA12,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet: 50404
50372,226001370325,NA,NA,12,GA12,Gravel Augmentation,Deploy 2024_04,4/25/2024,Trimble,Corrected with Eric. OldID on FieldSheet: 50405
NA,209000133113,NA,NA,23,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,226001370201,NA,NA,12,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,226001370208,NA,NA,12,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,226001370225,NA,NA,12,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,226001370227,NA,NA,12,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,226001370241,NA,NA,12,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,226001370247,NA,NA,12,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,226001370273,NA,NA,12,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,226001370276,NA,NA,12,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,228000607518,NA,NA,23,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,228000607523,NA,NA,23,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,228000607542,NA,NA,23,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,228000607553,NA,NA,23,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,228000607555,NA,NA,23,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,228000607574,NA,NA,23,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,230000111526,NA,NA,32,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,230000111620,NA,NA,32,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,230000111655,NA,NA,32,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
NA,231000039792,NA,NA,14,,Gravel Augmentation,Deploy 2024_04,NA,Trimble,NA
51087,209000132715,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51031,209000132717,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51069,209000132718,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51023,209000132719,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51047,209000132724,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51049,209000132728,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51060,209000132746,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51094,209000132755,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51025,209000132778,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51071,209000132788,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51005,209000132794,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51003,209000132800,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51063,209000133124,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51045,209000133128,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51080,209000133163,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51009,209000133171,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51033,209000133200,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51021,209000133207,NA,NA,23,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51084,226001370209,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51098,226001370227,NA,NA,14,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51082,226001370231,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51024,226001370238,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51050,226001370239,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51018,226001370245,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51046,226001370251,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51061,226001370255,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51059,226001370274,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51077,226001370279,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51016,226001370287,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51086,226001370288,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51022,226001370290,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51011,226001370295,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51013,226001370301,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51028,226001370302,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51054,226001370305,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51040,226001370307,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51095,226001370320,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
51078,226001370323,NA,NA,12,0,Riffle 0,Deploy 2024_10,10/16/2024,Trimble,NA
